name,code,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,Feels Like Jan,Feb Feels,Mar Feels,Apr Feels,May Feels,Jun Feels,Jul Feels,Aug Feels,Sep Feels,Oct Feels,Nov Feels,Dec Feels
Christmas Island (Aus.),CXR,26.79,26.85,27.16,27.33,27.26,26.7,25.95,25.53,25.44,25.88,26.41,26.66,79.86,82.2,81.4,81.37,80.05,79.88,78.54,76.64,77.61,79.13,78.3,78.68,49.1438,49.976,50.022,50.1821,49.6765,49.0604,47.8682,46.8212,47.0513,47.9929,48.249,48.6244
Cocos (Keeling) Islands (Aus.),CCK,26.5,26.79,26.87,26.9,26.7,26.29,25.79,25.56,25.35,25.55,25.88,26.14,78.9,79.94,81.63,82.65,81.82,80.95,80.01,77.93,77.39,77.67,77.77,78.49,48.537,49.1702,49.8079,50.1745,49.7006,49.0035,48.1933,47.2769,46.8887,47.1811,47.5441,48.0417
Colombia,COL,24.22,24.47,24.31,23.95,23.6,23.21,23.09,23.42,23.64,23.78,23.77,23.82,78.2,77.45,81.5,86.02,87.69,87.52,86.36,85.44,85.59,86.47,86.71,84.01,46.026,46.0285,47.205,48.3366,48.5377,48.0916,47.5888,47.6152,47.8847,48.3151,48.3843,47.5433
Comoros,COM,26.42,26.38,26.4,26.25,25.53,24.35,23.52,23.41,23.85,24.71,25.67,26.27,82.26,82.84,83.39,82.23,79.13,77.04,77.22,77.31,78.06,78.46,79.54,81.46,49.5658,49.7172,49.9187,49.3859,47.6429,45.7732,45.0026,44.9223,45.6098,46.6018,47.9182,49.1518
Congo,COG,25.05,25.47,25.6,25.45,25.14,24.17,23.65,23.84,24.16,24.39,24.47,24.65,80.73,80.87,82.66,84.51,84.86,83.11,80.57,80.58,82.82,84.95,86.18,84.38,47.6909,48.1571,48.8778,49.3383,49.1438,47.5963,46.2381,46.4314,47.4906,48.4235,48.9094,48.4954
Cook Islands (N.Z.),COK,25.96,26.29,26.36,25.95,25.06,24.26,23.68,23.3,23.44,23.94,24.84,25.41,82.07,81.83,81.59,79.52,77.3,75.07,74.56,73.94,76.36,77.62,78.93,80.34,49.0431,49.2939,49.2847,48.1916,46.569,45.0331,44.2848,43.7002,44.6388,45.5546,46.8869,47.9222
Costa Rica,CRI,22.18,22.56,23.15,23.74,23.68,23.41,23.2,23.21,23.09,22.84,22.49,22.31,81.21,78.85,77.57,79.14,85.39,88.28,87.59,87.85,88.91,89.58,87.97,84.64,44.9793,44.5805,44.7481,45.8562,47.8587,48.5424,48.1047,48.2005,48.4303,48.4014,47.5201,46.2412
Côte d'Ivoire,CIV,26.33,27.85,28.33,27.8,27.06,25.84,24.92,24.64,25.13,25.83,26.33,25.99,54.54,56.74,66.3,74.57,78.56,81.63,82.77,83.87,83.88,81.79,75.73,64.08,40.3282,42.5742,46.209,48.4081,48.9848,48.7779,48.2341,48.3171,48.8104,48.8207,47.3209,43.1364
Croatia,HRV,2.19,3.39,7.18,11.81,16.54,20.29,22.23,21.83,16.88,12.66,7.81,3.08,81.12,74.73,69.18,68.65,68.86,68.39,65.69,67.29,73.97,78.13,81.45,82.79,24.9596,24.0509,26.0094,30.4645,35.2638,38.8587,39.9077,40.0357,37.2901,34.4429,30.6885,26.4007
Cuba,CUB,22.65,23.24,23.87,25.2,26.29,27.12,27.69,27.74,27.14,26.18,24.51,23.44,74.04,71.85,69.82,69.68,73.93,78.72,76.57,77.48,80.23,80.53,77.2,76.35,43.0832,42.9505,42.9106,44.1944,46.6869,49.0976,48.9581,49.3084,49.6159,48.7549,45.986,44.6355
